animal_id,greutatea_curenta,varsta_animalului,orele_de_activitate,grame_hrana_necesare
PET_00001,17.48,5.0,1.2,201.0
PET_00002,14.31,0.7,0.5,310.0
PET_00003,18.24,10.8,5.0,251.0
PET_00004,22.62,6.6,4.5,331.0
PET_00005,13.83,10.3,6.3,232.0
PET_00006,13.83,1.2,5.8,294.0
PET_00007,22.9,3.1,2.0,291.0
PET_00008,18.84,3.5,6.8,310.0
PET_00009,12.65,4.9,5.9,302.0
PET_00010,17.71,9.7,5.7,270.0
PET_00011,12.68,4.9,9.6,341.0
PET_00012,12.67,2.9,9.1,347.0
PET_00013,16.21,1.2,5.7,309.0
PET_00014,5.43,1.4,5.4,223.0
PET_00015,6.38,9.2,6.7,193.0
PET_00016,12.19,5.6,2.5,209.0
PET_00017,9.94,8.9,2.6,141.0
PET_00018,16.57,8.3,5.7,265.0
PET_00019,10.46,2.1,1.9,215.0
PET_00020,7.94,2.1,5.5,216.0
PET_00021,22.33,9.2,4.4,282.0
PET_00022,13.87,8.8,1.9,155.0
PET_00023,15.34,4.8,4.1,267.0
PET_00024,7.88,1.4,7.3,279.0
PET_00025,12.28,0.6,4.2,385.0
PET_00026,15.55,3.8,4.2,263.0
PET_00027,9.25,0.6,4.8,327.0
PET_00028,16.88,3.1,5.1,282.0
PET_00029,12.0,5.3,3.2,242.0
PET_00030,13.54,1.9,4.9,286.0
PET_00031,11.99,1.7,1.4,196.0
PET_00032,24.26,10.8,2.0,262.0
PET_00033,14.93,7.2,2.3,211.0
PET_00034,9.71,11.2,5.2,225.0
PET_00035,19.11,4.5,4.4,292.0
PET_00036,8.9,8.3,3.7,188.0
PET_00037,16.04,2.9,5.7,285.0
PET_00038,5.2,7.6,4.9,192.0
PET_00039,8.36,2.0,3.3,221.0
PET_00040,15.98,0.5,1.4,334.0
PET_00041,18.69,11.2,2.0,230.0
PET_00042,15.86,6.9,0.5,186.0
PET_00043,14.42,11.2,4.4,213.0
PET_00044,13.49,4.3,1.8,212.0
PET_00045,7.61,4.3,2.8,197.0
PET_00046,11.4,5.1,3.7,223.0
PET_00047,12.7,8.6,6.6,264.0
PET_00048,20.29,7.0,6.3,359.0
PET_00049,16.72,11.1,3.9,224.0
PET_00050,6.18,0.8,7.2,363.0
PET_00051,16.62,8.6,0.5,179.0
PET_00052,13.07,4.3,8.7,352.0
PET_00053,11.62,2.6,5.7,258.0
PET_00054,18.06,6.4,4.3,304.0
PET_00055,20.15,6.3,1.8,257.0
PET_00056,19.66,2.1,2.9,312.0
PET_00057,10.8,2.8,5.5,293.0
PET_00058,13.45,5.2,5.6,293.0
PET_00059,16.66,5.2,5.7,281.0
PET_00060,19.88,4.2,2.2,234.0
PET_00061,12.6,2.2,1.7,208.0
PET_00062,14.07,0.6,4.5,422.0
PET_00063,9.47,11.7,5.9,222.0
PET_00064,9.02,11.4,4.0,170.0
PET_00065,19.06,6.1,7.7,337.0
PET_00066,21.78,11.9,4.1,288.0
PET_00067,14.64,8.2,4.0,255.0
PET_00068,20.02,1.3,5.7,330.0
PET_00069,16.81,1.9,7.0,349.0
PET_00070,11.77,11.0,0.6,186.0
PET_00071,16.81,7.7,1.2,218.0
PET_00072,22.69,10.2,3.2,266.0
PET_00073,14.82,10.8,11.9,360.0
PET_00074,22.82,5.7,3.3,306.0
PET_00075,5.0,1.1,3.7,204.0
PET_00076,19.11,2.7,5.5,320.0
